Classes = TB,K,G
Attributes = stt{Floating_Point},toan{Floating_Point},ly{Floating_Point},hoa{Floating_Point},sinh{Floating_Point},tin{Floating_Point},van{Floating_Point},su{Floating_Point},dia{Floating_Point},nn{Floating_Point},gdcd{Floating_Point},cn{Floating_Point},theduc{Floating_Point},qpan{Floating_Point},tbcmcn{Floating_Point},songaynghi{Floating_Point}
151,9.2,9.0,7.9,8.9,9.2,7.7,9.6,8.3,8.4,8.7,8.9,7,8.0,8.7,0,G
152,9.5,9.0,8.6,8.8,8.9,8.1,9.5,8.3,8.6,8.8,8.9,7,8.0,8.8,0,G
153,9.6,9.1,7.9,8.7,9.1,8.3,9.5,8.5,8.1,8.8,9.8,7,8.0,8.8,0,G
154,7.0,7.9,5.3,6.8,8.2,5.8,6.8,5.5,7.2,6.5,8.0,7,8.1,6.9,0,K
155,9.1,8.8,8.1,8.5,9.0,7.7,9.4,7.0,8.8,8.6,8.2,7,8.2,8.5,0,G
156,9.0,8.7,7.3,8.5,8.9,7.4,9.0,8.0,7.9,7.8,8.6,7,8.0,8.3,0,G
157,9.1,8.5,7.6,8.9,8.9,7.7,9.3,8.3,8.2,8.6,8.8,7,8.1,8.5,1,G
158,9.0,8.9,7.5,8.5,9.3,7.0,9.3,7.8,7.4,8.2,8.8,7,8.1,8.3,0,G
159,9.9,9.4,9.3,9.4,8.9,7.6,9.8,8.8,8.6,8.7,9.3,7,8.0,9.0,0,G
160,9.7,9.7,9.1,9.6,9.3,8.0,9.7,9.4,9.0,8.9,9.6,7,8.5,9.2,6,G
161,9.5,9.3,8.1,8.6,9.3,7.2,9.3,8.3,8.0,8.4,9.2,7,8.1,8.6,0,G
162,8.9,9.2,8.2,7.5,9.1,6.8,9.6,7.9,8.1,8.5,9.3,7,8.1,8.4,0,G
163,8.3,8.4,7.9,8.0,8.6,7.2,9.6,7.7,8.2,8.1,7.5,7,8.1,8.1,0,G
164,9.3,8.9,8.0,8.4,9.4,6.5,9.2,7.2,7.6,7.9,8.8,7,8.2,8.3,0,G
165,8.2,8.5,7.6,8.8,8.3,6.8,8.7,8.3,8.3,8.7,8.2,7,8.2,8.2,0,G
166,8.8,8.4,7.7,7.6,8.7,6.5,8.8,7.2,7.2,8.0,9.0,7,7.8,8.0,0,G
167,9.0,8.7,8.6,8.5,8.7,8.0,9.7,8.6,8.4,8.0,8.6,7,8.0,8.6,0,G
