Classes = 1,2,3,4,5,7
Attributes = A1{Floating_Point},A2{Floating_Point},A3{Floating_Point},A4{Floating_Point}
92,112,118,85,3
84,103,104,81,3
84,99,104,78,3
84,99,104,81,3
76,99,104,81,3
76,99,108,85,3
80,112,118,88,3
80,107,113,85,3
76,91,104,74,4
76,95,100,78,4
76,91,100,74,4
76,87,91,67,4
71,87,87,70,4
68,83,87,67,4
68,83,87,67,4
68,83,87,67,4
71,83,87,70,4
76,91,91,74,4
84,103,108,85,3
88,112,113,88,3
84,99,108,85,3
88,99,104,85,3
88,103,113,88,3
88,112,122,88,3
88,103,113,85,3
92,112,118,92,3
92,112,118,92,3
92,107,113,92,3
92,107,118,88,3
88,107,118,88,3
88,103,108,85,3
88,103,108,81,3
88,103,108,88,3
84,103,108,81,3
88,99,104,85,3
84,103,108,85,3
84,99,108,85,3
88,107,113,85,3
88,103,113,85,3
88,99,104,85,3
84,99,104,85,3
84,99,100,81,3
80,91,96,78,3
71,75,87,78,5
60,54,87,74,5
71,79,100,81,5
80,95,100,85,7
71,79,87,70,7
71,79,83,67,7
71,79,79,63,7
60,68,79,67,5
53,54,75,70,5
53,54,71,63,5
56,51,67,63,5
88,121,128,100,3
84,107,113,87,3
84,99,104,79,3
84,99,104,79,3
84,103,104,79,3
79,107,109,87,3
79,107,113,87,3
79,103,104,83,3
79,103,104,79,3
75,95,100,79,4
75,91,96,71,4
79,87,93,71,4
79,87,93,67,4
75,87,96,71,4
67,75,85,62,4
71,75,85,62,4
71,75,81,67,4
71,75,81,62,4
75,83,96,83,4
79,99,104,83,3
84,99,113,87,3
88,107,113,87,3
88,107,109,83,3
88,103,109,87,3
84,103,113,87,3
88,111,113,92,3
93,107,109,92,3
93,111,113,92,3
93,116,118,92,3
88,111,118,92,3
93,107,113,87,3
93,107,113,87,3
93,107,109,87,3
88,107,109,92,3
88,107,109,87,3
88,107,109,87,3
88,103,109,87,3
93,103,109,87,3
88,107,109,87,3
88,107,113,87,3
84,99,104,87,3
79,99,100,79,3
88,95,100,79,3
88,103,109,83,3
88,103,113,83,3
84,103,104,83,3
84,99,109,83,3
84,103,104,83,3
79,99,100,83,3
79,91,104,79,3
84,99,104,83,3
75,87,93,71,7
75,83,85,71,7
71,79,77,67,7
67,72,81,67,7
67,64,81,67,5
59,61,77,71,5
55,54,85,67,5
55,51,74,67,5
55,48,70,62,5
51,48,70,67,5
90,109,112,89,3
90,113,117,92,3
90,113,122,96,3
95,123,127,100,3
82,100,108,85,3
82,100,108,81,3
82,100,104,78,3
78,100,104,81,3
82,100,108,85,3
78,96,96,78,4
78,91,92,70,4
78,91,96,74,4
74,87,92,70,4
74,87,88,66,4
78,87,88,66,4
74,83,92,66,4
70,83,92,66,4
59,60,96,81,2
56,49,104,100,2
49,40,112,114,2
63,67,104,85,2
82,96,104,78,3
86,100,108,85,3
90,104,112,85,3
86,104,108,85,3
86,104,108,85,3
86,100,108,85,3
90,104,112,89,3
90,104,112,85,3
