"Diện tích sàn xây dựng nhà ở hoàn thành trong năm phân theo loại nhà chia theo Loại nhà và Năm"

" ";"2016";"2017";"2018"
"TỔNG SỐ";102488;102532;103849
"Nhà ở chung cư";2982;4575;3267
"Nhà ở chung cư dưới 4 tầng(*)";169;103;98
"Nhà ở chung cư từ 4-8 tầng(**)";319;102;111
"Nhà ở chung cư từ 9-25 tầng";1961;3667;1985
"Nhà ở chung cư từ 26 tầng trở lên";533;703;1073
"Nhà ở riêng lẻ";99506;97957;100582
"Nhà ở riêng lẻ dưới 4 tầng";96378;94852;98102
"Nhà ở riêng lẻ từ 4 tầng trở lên";2295;1753;1677
"Nhà biệt thự";833;1352;803

"(*) Năm 2018, chung cư từ 5 tầng trở xuống(**) Năm 2018 là nhà "
"chung cư từ 6-8 tầng"

