"Dân số trung bình phân theo địa phương, giới tính và thành thị nông thôn (*) by Tỉnh, thành phố, Dân số trung bình and Năm"

" ";"Tổng số";" ";" ";"Nam";" ";" ";"Nữ";" ";" ";"Thành thị";" ";" ";"Nông thôn";" ";" "
" ";"2017";"2018";"Sơ bộ 2019";"2017";"2018";"Sơ bộ 2019";"2017";"2018";"Sơ bộ 2019";"2017";"2018";"Sơ bộ 2019";"2017";"2018";"Sơ bộ 2019"
"CẢ NƯỚC";94286.0;95385.2;96484.0;46848.0;47427.1;48017.7;47438.0;47958.1;48466.3;31928.3;32636.9;33816.6;62357.7;62748.3;62667.4
"Ðồng bằng sông Hồng";21968.6;22290.7;22620.2;10870.9;11036.4;11214.5;11097.7;11254.4;11405.7;7569.2;7773.5;8130.3;14399.4;14517.3;14489.9
"Hà Nội";7742.2;7914.5;8093.9;3831.5;3920.3;4012.7;3910.7;3994.2;4081.2;3810.0;3904.8;4000.3;3932.2;4009.6;4093.6
"Hà Tây";..;..;..;..;..;..;..;..;..;..;..;..;..;..;..
"Vĩnh Phúc";1123.1;1138.4;1154.8;555.4;563.7;575.5;567.8;574.6;579.4;261.7;285.2;295.2;861.4;853.2;859.6
"Bắc Ninh";1297.8;1337.3;1378.6;640.3;657.8;681.0;657.4;679.6;697.6;355.3;365.6;380.9;942.5;971.7;997.7
"Quảng Ninh";1285.2;1303.9;1324.8;654.1;663.4;673.8;631.1;640.6;651.1;792.9;822.1;853.7;492.3;481.8;471.2
"Hải Dương";1850.6;1877.7;1896.9;916.8;931.7;942.7;933.8;946.0;954.2;443.6;463.4;594.2;1407.0;1414.3;1302.7
"Hải Phòng";2001.4;2016.4;2033.3;994.0;1001.6;1010.2;1007.4;1014.8;1023.1;914.4;920.3;926.9;1087.0;1096.2;1106.4
"Hưng Yên";1228.8;1242.4;1255.8;613.2;620.6;628.7;615.6;621.8;627.1;149.5;151.5;207.3;1079.3;1090.9;1048.5
"Thái Bình";1846.1;1854.1;1862.2;897.1;901.8;906.4;949.0;952.4;955.7;192.0;194.5;197.0;1654.1;1659.6;1665.2
"Hà Nam";839.8;847.1;854.5;412.8;416.7;420.6;427.0;430.4;433.8;138.2;140.8;143.3;701.5;706.4;711.2
"Nam Ðịnh";1788.2;1784.2;1780.9;875.1;873.5;872.5;913.1;910.7;908.4;316.5;324.1;323.7;1471.7;1460.2;1457.1
