"Lực lượng lao động từ 15 tuổi trở lên phân theo giới tính và phân theo thành thị, nông thôn (*) chia theo Cách tính, Năm và Phân tổ"

" ";" ";"Tổng số";"Nam";"Nữ";"Thành thị";"Nông thôn"
"Tổng số (Nghìn người)"
" ";"2017";54819.6;28513.6;26306.0;17416.1;37403.5
" ";"2018";55388.0;28911.4;26476.6;17864.2;37523.8
" ";"Sơ bộ 2019";55767.4;29370.6;26396.8;18094.5;37672.9
"Cơ cấu (%)"
" ";"2017";100.0;52.0;48.0;31.8;68.2
" ";"2018";100.0;52.2;47.8;32.3;67.7
" ";"Sơ bộ 2019";100.0;52.7;47.3;32.4;67.6

"(*) Lực lượng lao động từ 15 tuổi trở lên điều chỉnh theo kết "
"quả Tổng điều tra dân số và nhà ở 01/4/2019."

