"Tổng số lao động trong các doanh nghiệp đang hoạt động
có kết quả sản xuất kinh doanh tại thời điểm 31/12 hàng năm
phân theo loại hình doanh nghiệp"

" ";" ";"2017";"2018";"Sơ bộ 2019"
"Nghìn người"
" ";"TỔNG SỐ";12856,9;14012,3;14512,2
" ";"Doanh nghiệp Nhà nước";1371,6;1285,9;1201,8
" ";"DN 100% vốn nhà nước";779,1;745,1;704,6
" ";"DN hơn 50% vốn nhà nước";592,5;540,8;497,2
" ";"Doanh nghiệp ngoài Nhà nước";7712,6;8572,4;8800,3
" ";"Tư nhân";470,2;472,5;393,5
" ";"Công ty hợp danh";4,5;6,2;5,3
" ";"Công ty TNHH";4103,8;4608,9;4840,9
" ";"Công ty cổ phần có vốn Nhà nước";353,8;336,3;313,3
" ";"Công ty cổ phần không có vốn Nhà nước";2780,3;3148,6;3247,3
" ";"Doanh nghiệp có vốn đầu tư nước ngoài";3772,7;4154,0;4510,1
" ";"DN 100% vốn nước ngoài";3469,7;3817,9;4180,0
" ";"DN liên doanh với nước ngoài";303,0;336,1;330,1
"Cơ cấu (%)"
" ";"TỔNG SỐ";100,00;100,00;100,00
" ";"Doanh nghiệp Nhà nước";10,67;9,18;8,28
" ";"DN 100% vốn nhà nước";6,06;5,32;4,86
" ";"DN hơn 50% vốn nhà nước";4,61;3,86;3,42
" ";"Doanh nghiệp ngoài Nhà nước";59,99;61,17;60,65
" ";"Tư nhân";3,66;3,37;2,71
" ";"Công ty hợp danh";0,04;0,04;0,04
" ";"Công ty TNHH";31,92;32,89;33,36
" ";"Công ty cổ phần có vốn Nhà nước";2,75;2,40;2,16
" ";"Công ty cổ phần không có vốn Nhà nước";21,63;22,47;22,38
" ";"Doanh nghiệp có vốn đầu tư nước ngoài";29,34;29,65;31,07
" ";"DN 100% vốn nước ngoài";26,99;27,25;28,80
" ";"DN liên doanh với nước ngoài";2,36;2,40;2,27
