"Số lao động trong hợp tác xã phân theo địa phương"

" ";"2015";"2016";"2017"
"CẢ NƯỚC";212939;200925;188672
"Đồng bằng sông Hồng";78294;71735;69119
"Hà Nội";21291;21285;19858
"Vĩnh Phúc";3644;3792;3082
"Bắc Ninh";6084;4549;4217
"Quảng Ninh";2181;2577;2750
"Hải Dương";8308;7099;7358
"Hải Phòng";5294;4554;4118
"Hưng Yên";5573;4434;4823
"Thái Bình";9932;8999;8653
"Hà Nam";1927;1867;1733
"Nam Định";8490;6981;6421
"Ninh Bình";5570;5598;6106
"Trung du và miền núi phía Bắc";24673;25413;23885
"Hà Giang";3232;3052;3142
"Cao Bằng";1596;1669;1599
"Bắc Kạn";356;329;491
"Tuyên Quang";1807;1531;1408
"Lào Cai";1507;1224;714
"Yên Bái";2067;1728;1839
"Thái Nguyên";1559;2105;2072
"Lạng Sơn";1063;1113;977
"Bắc Giang";3764;3759;3776
"Phú Thọ";3448;3410;3738
"Điện Biên";843;801;683
"Lai Châu";1149;1434;1028
"Sơn La";1049;1899;1093
"Hoà Bình";1233;1359;1325
"Bắc Trung Bộ và Duyên hải miền Trung";47928;46906;43084
"Thanh Hoá";12083;12119;10531
"Nghệ An";4842;4534;4307
"Hà Tĩnh";9010;10869;10105
"Quảng Bình";2257;2017;2098
"Quảng Trị";1956;1985;1851
"Thừa Thiên Huế";2792;2867;2708
"Đà Nẵng";1335;1312;1277
"Quảng Nam";1905;1927;2069
"Quảng Ngãi";1565;1510;1363
"Bình Định";2889;2797;2497
"Phú Yên";1115;980;889
"Khánh Hoà";4427;2288;2161
"Ninh Thuận";348;353;320
"Bình Thuận";1404;1348;908
"Tây Nguyên";6441;7090;7187
"Kon Tum";382;216;266
"Gia Lai";873;894;1170
"Đắk Lắk";3426;3899;3067
"Đắk Nông";478;496;821
"Lâm Đồng";1282;1585;1863
"Đông Nam Bộ";34473;28063;2348
"Bình Phước";1517;1735;1295
"Tây Ninh";1016;946;816
"Bình Dương";2588;2587;2392
"Đồng Nai";4348;4743;4358
"Bà Rịa - Vũng Tàu";765;681;710
"TP.Hồ Chí Minh";24239;17371;13917
"Đồng bằng sông Cửu Long";21130;21718;21909
"Long An";1110;637;574
"Tiền Giang";2031;2134;2015
"Bến Tre";746;752;712
"Trà Vinh";857;885;765
"Vĩnh Long";1724;1516;1320
"Đồng Tháp";1916;1839;1832
"An Giang";3327;3272;2605
"Kiên Giang";1561;1846;1915
"Cần Thơ";2273;2259;3341
"Hậu Giang";1017;1245;1558
"Sóc Trăng";885;962;862
"Bạc Liêu";2721;3085;3440
"Cà Mau";962;1286;970
