"Giáo dục nghề nghiệp(*) chia theo Chỉ tiêu và Năm"

" ";"2016";"2017";"2018";"Sơ bộ 2019"
"Số cơ sở giáo dục nghề nghiệp (Cơ sở)";2697.0;3006.0;2957.0;3024.0
"Số cơ sở giáo dục nghề nghiệp  - Công lập (Cơ sở)";1465.0;1574.0;1299.0;1441.0
"Số cơ sở giáo dục nghề nghiệp- Ngoài công lập (Cơ sở)";1232.0;1432.0;1658.0;1583.0
"Số giáo viên (Nghìn người)";67.7;86.4;86.9;84.3
"Số giáo viên - Công lập (Nghìn người)";41.6;58.4;58.8;50.7
"Số giáo viên - Ngoài công lập (Nghìn người)";26.1;28.0;28.1;33.6
"Số giáo viên - Nam (Nghìn người)";47.9;56.7;56.2;53.6
"Số giáo viên - Nữ (Nghìn người)";19.8;29.7;30.7;30.7
"Số học sinh, sinh viên tốt nghiệp (Nghìn người)";1479.4;1984.0;2100.0;2200.0
"Số học sinh, sinh viên tốt nghiệp - Công lập (Nghìn người)";965.4;1291.6;1350.9;1425.9
"Số học sinh, sinh viên tốt nghiệp- Ngoài công lập (Nghìn người)";514.0;692.4;749.1;774.1

"(*) Không bao gồm số liệu của các trường trung cấp chuyên nghiệp "
"và cao đẳng do Bộ Giáo dục và Đào tạo quản lý."

