"Số lượt hành khách luân chuyển phân theo ngành vận tải (*) chia theo Cách tính, Năm và Ngành"

" ";" ";"Tổng số";"Đường sắt";"Đường bộ";"Đường sông";"Đường hàng không"
"Lượt hành khách (Triệu lượt người.km)"
" ";"2017";186834.4;3625.1;125390.3;3504.6;54314.4
" ";"2018";206672.7;3542.1;130774.7;4499.9;67856.0
" ";"Sơ bộ 2019";230779.9;3170.5;145612.6;4812.9;77183.9
"Chỉ số phát triển (Nãm trước =100)-%"
" ";"2017";110.5;105.9;109.8;108.8;112.6
" ";"2018";110.6;97.7;104.3;128.4;124.9
" ";"Sơ bộ 2019";111.7;89.5;111.3;107.0;113.7

"(*) Bao gồm số liệu của các đơn vị ngành vận tải và các đơn "
"vị khác có hoạt động kinh doanh vận tải."

