"Số lượt hành khách vận chuyển phân theo ngành vận tải(*) chia theo Cách tính, Năm và Ngành"

" ";" ";"Tổng số";"Đường sắt";"Đường bộ";"Đường sông";"Đường hàng không"
"Lượt hành khách (Triệu lượt người)"
" ";"2017";4027.1;9.5;3793.2;179.9;44.5
" ";"2018";4291.5;8.7;4004.7;229.0;49.1
" ";"Sơ bộ 2019";4769.0;8.1;4464.2;241.7;55.0
"Chỉ số phát triển (Năm trước =100)-%"
" ";"2017";111.1;96.9;111.5;104.0;115.3
" ";"2018";106.6;91.4;105.6;127.3;110.3
" ";"Sơ bộ 2019";111.1;92.4;111.5;105.6;112.1

"(*) Bao gồm số liệu của các đơn vị ngành vận tải và các đơn "
"vị khác có hoạt động kinh doanh vận tải."

