"Thiệt hại do thiên tai chia theo Loại thiệt hại và Năm"

" ";"2017";"2018";"Sơ bộ 2019"
"Thiệt hại về người (Người) - Số người chết và mất tích";389;218;133
"Thiệt hại về người (Người) - Số người bị thương";668;157;183
"Thiệt hại về nhà ở (Nhà) - Số nhà bị sập đổ, cuốn trôi";8309;1967;1319
"Thiệt hại về nhà ở (Nhà) Số nhà bị ngập nước, sạt lở, tốc mái";588845;119157;79459
"Thiệt hại về nông nghiệp (Ha) - Diện tích lúa bị thiệt hại";234517;203580;65820
"Thiệt hại về nông nghiệp (Ha) - Diện tích hoa màu bị thiệt hại";130678;56748;15230
"Tổng giá trị thiệt hại do thiên tai gây ra (Tỷ đồng)";60027;15766;6847

"(*) Bao gồm thiệt hại do hạn hán và xâm nhập mặn tại các tỉnh "
"Tây Nguyên, Nam Trung Bộ và đồng bằng sông Cửu Long."

