"Xử lý chất thải rắn và nước thải của các khu công nghiệp(*) by Vùng, Loại khu công nghiệp, Năm and Số khu công nghiệp và tỷ lệ"

" ";" ";"2015";" ";" ";"2016";" ";" ";"2017";" ";" "
" ";" ";"Tổng số khu công nghiệp (Khu)";"Số khu công nghiệp xử lý đạt tiêu chuẩn quy định (Khu)";"Tỷ lệ khu công nghiệp xử lý đạt tiêu chuẩn quy định (%)";"Tổng số khu công nghiệp (Khu)";"Số khu công nghiệp xử lý đạt tiêu chuẩn quy định (Khu)";"Tỷ lệ khu công nghiệp xử lý đạt tiêu chuẩn quy định (%)";"Tổng số khu công nghiệp (Khu)";"Số khu công nghiệp xử lý đạt tiêu chuẩn quy định (Khu)";"Tỷ lệ khu công nghiệp xử lý đạt tiêu chuẩn quy định (%)"
"Cả nước"
" ";"TỔNG SỐ";371.0;235.0;..;371.0;238.0;64.2;384.0;245.0;63.8
" ";"Khu công nghiệp";324.0;221.0;68.2;323.0;227.0;70.3;335.0;233.0;69.6
" ";"Khu chế xuất";4.0;4.0;100.0;4.0;4.0;100.0;4.0;4.0;100.0
" ";"Khu kinh tế";39.0;8.0;20.5;40.0;5.0;12.5;41.0;6.0;14.6
" ";"Khu công nghệ cao";4.0;2.0;50.0;4.0;2.0;50.0;4.0;2.0;50.0
"Đồng bằng sông Hồng"
" ";"TỔNG SỐ";..;..;..;..;..;..;..;..;..
" ";"Khu công nghiệp";71.0;52.0;73.2;74.0;49.0;66.2;78.0;52.0;66.7
" ";"Khu chế xuất";5.0;..;..;5.0;..;..;..;..;..
" ";"Khu kinh tế";1.0;1.0;100.0;1.0;1.0;100.0;6.0;..;0.0
" ";"Khu công nghệ cao";..;..;..;..;..;..;1.0;1.0;100.0
"Trung du và miền núi phía Bắc"
" ";"TỔNG SỐ";..;..;..;..;..;..;..;..;..
" ";"Khu công nghiệp";33.0;20.0;60.6;34.0;21.0;61.8;36.0;24.0;66.7
" ";"Khu chế xuất";8.0;1.0;12.5;8.0;..;..;..;..;..
" ";"Khu kinh tế";..;..;..;..;..;..;8.0;1.0;12.5
" ";"Khu công nghệ cao";..;..;..;..;..;..;..;..;..
"Bắc Trung Bộ và Duyên hải miền Trung"
" ";"TỔNG SỐ";..;..;..;..;..;..;..;..;..
" ";"Khu công nghiệp";60.0;35.0;58.3;54.0;28.0;51.9;55.0;30.0;54.5
" ";"Khu chế xuất";15.0;6.0;40.0;16.0;4.0;25.0;..;..;..
" ";"Khu kinh tế";1.0;..;..;1.0;..;..;16.0;4.0;25.0
" ";"Khu công nghệ cao";..;..;..;..;..;..;1.0;..;..
"Tây Nguyên"
" ";"TỔNG SỐ";..;..;..;8.0;6.0;75.0;..;..;..
" ";"Khu công nghiệp";19.0;5.0;26.3;2.0;..;..;8.0;6.0;75.0
" ";"Khu chế xuất";2.0;..;..;..;..;..;..;..;..
" ";"Khu kinh tế";..;..;..;..;..;..;2.0;..;0.0
" ";"Khu công nghệ cao";..;..;..;..;..;..;..;..;..
"Đông Nam Bộ"
" ";"TỔNG SỐ";..;..;..;..;..;..;..;..;..
" ";"Khu công nghiệp";92.0;77.0;83.7;98.0;85.0;86.7;102.0;84.0;82.4
" ";"Khu chế xuất";4.0;4.0;100.0;4.0;4.0;100.0;4.0;4.0;100.0
" ";"Khu kinh tế";3.0;1.0;33.3;3.0;1.0;33.3;3.0;1.0;33.3
" ";"Khu công nghệ cao";2.0;1.0;50.0;2.0;1.0;50.0;2.0;1.0;50.0
"Đồng bằng sông Cửu Long"
" ";"TỔNG SỐ";..;..;..;..;..;..;..;..;..
" ";"Khu công nghiệp";49.0;32.0;65.3;55.0;38.0;69.1;56.0;37.0;66.1
" ";"Khu chế xuất";..;..;..;6.0;..;..;..;..;..
" ";"Khu kinh tế";6.0;..;..;..;..;..;6.0;..;0.0
" ";"Khu công nghệ cao";..;..;..;..;..;..;..;..;..

"(*) Gồm khu công nghiệp, khu chế xuất, khu kinh tế và khu công "
"nghệ cao."

