"Trật tự và an toàn xã hội by Phân tổ and Năm"

" ";"2017";"2018";"Sơ bộ 2019"
"Số vụ tai nạn giao thông (Vụ)";20084;18565;17626
"Số vụ va chạm giao thông (Vụ)";10310;8947;8397
"Số vụ tai nạn giao thông gây hậu quả từ ít nghiêm trọng trở lên  (Vụ)";9774;9618;9229
"Số người chết do tai nạn giao thông (Người)";8281;8211;7624
"Số người bị thương do tai nạn giao thông (Người)";17040;14558;13624
"Số vụ cháy, nổ (Vụ)";4114;4220;3755
"Số người chết do cháy, nổ (Người)";119;108;112
"Số người bị thương do cháy, nổ (Người)";270;271;177
"Tổng giá trị tài sản thiệt hại ước tính do cháy nổ (Tỷ đồng)";2042;2014;1370

