"Lao động trong các cơ sở kinh tế cá thể phi nông nghiệp phân theo ngành kinh tế"

" ";"2016";"2017";"Sơ bộ 2018"
"TỔNG SỐ";8261870;8701319;8781085
"Công nghiệp và xây dựng";2160785;2264476;2216595
"Khai khoáng";33136;32735;28828
"Công nghiệp chế biến, chế tạo";1622453;1650664;1606107
"Sản xuất và phân phối điện, khí đốt, nước nóng, hơi nước và điều hòa không khí";7613;9907;10016
"Cung cấp nước; hoạt động quản lý và xử lý rác thải";10048;10891;10872
"Xây dựng";487535;560279;560772
"Thương mại, dịch vụ";6101085;6436843;6564490
"Bán buôn; bán lẻ; sửa chữa ô tô, mô tô, xe máy và xe có động cơ khác";3356381;3498087;3549506
"Vận tải, kho bãi";311615;324812;317193
"Dịch vụ, lưu trú và ăn uống";1398801;1512542;1538904
"Thông tin truyền thông";51883;50317;50383
"Hoạt động tài chính, ngân hàng, bảo hiểm";19619;16929;16710
"Hoạt động kinh doanh bất động sản";347755;380354;417005
"Hoạt động chuyên môn, khoa học và công nghệ";31797;28995;28359
"Hoạt động hành chính và dịch vụ hỗ trợ";89800;99070;104491
"Giáo dục và đào tạo";33914;43662;46248
"Y tế và hoạt động cứu trợ xã hội";52600;51362;53870
"Nghệ thuật, vui chơi và giải trí";66530;64777;64629
"Hoạt động dịch vụ khác";340390;365936;377192
