"Số cơ sở kinh tế cá thể phi nông nghiệp phân theo ngành kinh tế"

" ";"2016";"2017";"Sơ bộ 2018"
"TỔNG SỐ";4909827;5142978;5151948
"Công nghiệp và xây dựng";904128;943311;917515
"Khai khoáng";15967;15668;13813
"Công nghiệp chế biến, chế tạo";801727;827270;803778
"Sản xuất và phân phối điện, khí đốt, nước nóng, hơi nước và điều hòa không khí";3130;3731;3708
"Cung cấp nước; hoạt động quản lý và xử lý rác thải";3864;4047;4096
"Xây dựng";79440;92595;92120
"Thương mại, dịch vụ";4005699;4199667;4234433
"Bán buôn; bán lẻ; sửa chữa ô tô, mô tô, xe máy và xe có động cơ khác";2252687;2335057;2340689
"Vận tải, kho bãi";241132;255553;248084
"Dịch vụ, lưu trú và ăn uống";782233;824887;824538
"Thông tin truyền thông";33970;31561;31508
"Hoạt động tài chính, ngân hàng, bảo hiểm";12651;10993;10727
"Hoạt động kinh doanh bất động sản";291173;332858;364349
"Hoạt động chuyên môn, khoa học và công nghệ";19400;17760;17157
"Hoạt động hành chính và dịch vụ hỗ trợ";49853;53949;56153
"Giáo dục và đào tạo";14048;15141;15014
"Y tế và hoạt động cứu trợ xã hội";28755;27447;28329
"Nghệ thuật, vui chơi và giải trí";35687;30161;28586
"Hoạt động dịch vụ khác";35687;30161;28586
