"Số doanh nghiệp đang hoạt động có kết quả sản xuất kinh doanh tại thời điểm 31/12 hàng năm phân theo loại hình doanh nghiệp"

" ";" ";"2017";"2018";"Sơ bộ 2019"
"Doanh nghiệp"
" ";"TỔNG SỐ";442485;505059;560417
" ";"Doanh nghiệp Nhà nước";2835;2662;2486
" ";"DN 100% vốn nhà nước";1315;1276;1204
" ";"DN hơn 50% vốn nhà nước";1520;1386;1282
" ";"Doanh nghiệp ngoài Nhà nước";427710;488395;541753
" ";"Tư nhân";47741;48409;45495
" ";"Công ty hợp danh";591;859;709
" ";"Công ty TNHH";287786;336884;384446
" ";"Công ty cổ phần có vốn Nhà nước";1416;1295;1167
" ";"Công ty cổ phần không có vốn Nhà nước";90176;100948;109936
" ";"Doanh nghiệp có vốn đầu tư nước ngoài";11940;14002;16178
" ";"DN 100% vốn nước ngoài";10238;11974;14015
" ";"DN liên doanh với nước ngoài";1702;2028;2163
"Cơ cấu (%)"
" ";"TỔNG SỐ";100,00;100,00;100,00
" ";"Doanh nghiệp Nhà nước";0,64;0,52;0,44
" ";"DN 100% vốn nhà nước";0,30;0,25;0,21
" ";"DN hơn 50% vốn nhà nước";0,34;0,27;0,23
" ";"Doanh nghiệp ngoài Nhà nước";96,66;96,71;96,67
" ";"Tư nhân";10,79;9,59;8,12
" ";"Công ty hợp danh";0,13;0,17;0,13
" ";"Công ty TNHH";65,04;66,70;68,60
" ";"Công ty cổ phần có vốn Nhà nước";0,32;0,26;0,2
" ";"Công ty cổ phần không có vốn Nhà nước";20,38;19,99;19,61
" ";"Doanh nghiệp có vốn đầu tư nước ngoài";2,70;2,77;2,89
" ";"DN 100% vốn nước ngoài";2,31;2,37;2,50
" ";"DN liên doanh với nước ngoài";0,38;0,40;0,39
