"Số hợp tác xã phân theo địa phương"

" ";"2015";"2016";"2017"
"CẢ NƯỚC";12866;13012;13171
"Đồng bằng sông Hồng";4853;4511;4467
"Hà Nội";1435;1329;1295
"Vĩnh Phúc";288;307;286
"Bắc Ninh";616;415;418
"Quảng Ninh";126;144;205
"Hải Dương";502;467;470
"Hải Phòng";293;289;268
"Hưng Yên";252;251;258
"Thái Bình";484;473;419
"Hà Nam";177;177;187
"Nam Định";390;368;365
"Ninh Bình";290;291;296
"Trung du và miền núi phía Bắc";2072;2061;2120
"Hà Giang";292;265;255
"Cao Bằng";180;144;145
"Bắc Kạn";23;42;62
"Tuyên Quang";182;191;210
"Lào Cai";78;80;92
"Yên Bái";149;139;138
"Thái Nguyên";78;115;145
"Lạng Sơn";46;63;72
"Bắc Giang";268;289;304
"Phú Thọ";307;287;305
"Điện Biên";75;61;59
"Lai Châu";114;108;97
"Sơn La";81;149;120
"Hoà Bình";199;128;116
"Bắc Trung Bộ và Duyên hải miền Trung";3592;3788;3792
"Thanh Hoá";693;728;719
"Nghệ An";469;456;494
"Hà Tĩnh";830;1004;971
"Quảng Bình";197;204;210
"Quảng Trị";283;275;265
"Thừa Thiên Huế";207;207;207
"Đà Nẵng";49;49;56
"Quảng Nam";130;150;194
"Quảng Ngãi";188;176;170
"Bình Định";197;193;178
"Phú Yên";110;107;104
"Khánh Hoà";84;79;82
"Ninh Thuận";35;36;34
"Bình Thuận";120;124;108
"Tây Nguyên";378;460;535
"Kon Tum";27;29;39
"Gia Lai";67;70;88
"Đắk Lắk";152;214;235
"Đắk Nông";42;43;38
"Lâm Đồng";90;104;135
"Đông Nam Bộ";743;861;905
"Bình Phước";29;38;51
"Tây Ninh";69;63;74
"Bình Dương";62;66;82
"Đồng Nai";177;251;246
"Bà Rịa - Vũng Tàu";45;48;37
"TP.Hồ Chí Minh";361;395;415
"Đồng bằng sông Cửu Long";1228;1331;1352
"Long An";61;60;46
"Tiền Giang";81;86;102
"Bến Tre";41;40;45
"Trà Vinh";67;73;81
"Vĩnh Long";81;78;80
"Đồng Tháp";164;151;145
"An Giang";126;127;130
"Kiên Giang";202;260;255
"Cần Thơ";93;107;125
"Hậu Giang";129;142;119
"Sóc Trăng";70;83;83
"Bạc Liêu";58;66;79
"Cà Mau";55;58;62
