"Kết quả kinh doanh của ngành du lịch chia theo Kết quả kinh doanh và Năm"

" ";"2017";"2018";"Sơ bộ 2019"
"Doanh thu của các cơ sở lưu trú (Tỷ đồng)";54383.3;59202.2;64507.6
"Doanh thu của các cơ sở lữ hành (Tỷ đồng)";36111.8;40371.2;44259.1
"Khách do các cơ sở lưu trú phục vụ (Nghìn lượt khách)";146585.2;159640.6;173982.2
"     Khách trong nước (Nghìn lượt khách)";132837.9;144683.1;157729.8
"     Khách quốc tế (Nghìn lượt khách)";13747.3;14957.5;16252.4
"Khách do các cơ sở lữ hành phục vụ (Nghìn lượt khách)";15173.0;16966.0;18644.4
"     Khách trong nước  (Nghìn lượt khách)";9918.4;11062.2;12165.7
"     Khách quốc tế  (Nghìn lượt khách)";4556.4;5125.9;5621.9
"     Khách Việt Nam đi du lịch nước ngoài (Nghìn lượt khách)";698.3;777.9;856.8

