"Doanh thu bưu chính, chuyển phát và viễn thông chia theo Cách tính, Năm và Ngành"

" ";" ";"Tổng số";"Bưu chính";"Viễn thông"
"Doanh thu - Tỷ đồng"
" ";"2017";348576.6;18706.7;329869.9
" ";"2018";377231.8;21853.5;355378.3
" ";"Sơ bộ 2019";409107.0;25777.8;383329.2
"Chỉ số phát triển (Năm trước =100) - %"
" ";"2017";108.6;129.9;107.6
" ";"2018";108.2;116.8;107.7
" ";"Sơ bộ 2019";108.4;118.0;107.9

"(*) Doanh thu viễn thông năm 2013, 2014 điều chỉnh theo Báo "
"cáo của Bộ Thông tin và Truyền thông."

