"Chỉ số sản xuất công nghiệp phân theo ngành công nghiệp* chia theo Ngành công nghiệp và Năm"

" ";"2012";"2013";"2014";"2015";"2016";"2017";"2018";"Sơ bộ 2019"
"Tổng số";105.8;105.9;107.6;109.8;107.4;111.3;110.1;109.1
"Khai khoáng";105.0;99.4;102.4;107.1;93.2;95.9;97.8;100.9
"Khai thác than cứng và than non";91.1;98.3;100.0;103.6;96.3;100.0;108.7;112.0
"Khai thác dầu thô và khí đốt tự nhiên";110.2;99.5;102.5;108.0;92.0;92.8;94.5;97.2
"Khai thác quặng kim loại";..;..;..;..;..;111.3;100.2;124.9
"Khai khoáng khác";87.5;95.8;113.6;106.0;102.5;106.1;98.3;101.7
"Hoạt động dịch vụ hỗ trợ khai thác mỏ và quặng";..;..;..;..;..;90.3;105.3;100.5
"Công nghiệp chế biến, chế tạo";105.5;107.6;108.7;110.5;111.3;114.7;112.2;110.4
"Sản xuất, chế biến thực phẩm";107.9;106.0;104.8;107.8;108.2;106.0;108.2;107.9
"Sản xuất đồ uống";111.3;109.2;109.5;107.0;110.4;106.1;107.9;110.5
"Sản xuất sản phẩm thuốc lá";100.7;106.2;87.4;103.8;103.3;100.9;108.8;102.3
"Dệt";104.2;121.0;119.7;114.0;116.9;109.8;112.5;110.9
"Sản xuất trang phục";107.5;110.9;112.2;104.6;107.5;109.1;110.9;107.6
"Sản xuất da và các sản phẩm có liên quan";107.8;118.7;122.0;117.0;103.5;107.1;110.4;109.9
"Chế biến gỗ và sản xuất sản phẩm từ gỗ, tre, nứa (trừ giường, tủ, bàn ghế); sản xuất sản phẩm từ rơm, rạ và vật liệu tết bện";..;..;..;..;..;104.6;104.0;110.3
"Sản xuất giấy và sản phẩm từ giấy";115.2;120.0;115.5;111.7;107.2;109.6;113.9;111.4
"In, sao chép bản ghi các loại";..;..;..;..;..;109.9;107.7;114.9
"Sản xuất than cốc, sản phẩm dầu mỏ tinh chế";..;..;..;..;..;91.5;165.3;119.5
"Sản xuất hoá chất và sản phẩm hoá chất";110.0;107.9;104.4;104.9;101.4;106.2;108.2;106.4
"Sản xuất thuốc, hoá dược và dược liệu";106.0;111.2;101.8;103.4;102.7;108.1;119.5;97.7
"Sản xuất sản phẩm từ cao su và plastic";110.4;109.5;103.6;111.5;110.2;113.2;103.2;114.0
"Sản xuất sản phẩm từ khoáng phi kim loại khác";94.9;104.6;108.8;112.0;112.3;108.8;110.8;107.6
"Sản xuất kim loại";106.4;98.2;109.9;112.1;117.9;122.1;125.0;128.7
"Sản xuất sản phẩm từ kim loại đúc sẵn (trừ máy móc, thiết bị)";107.9;117.0;113.3;103.0;109.7;109.9;112.0;108.3
"Sản xuất sản phẩm điện tử, máy vi tính và sản phẩm quang học";114.4;102.2;135.2;135.1;112.5;135.2;110.7;101.8
"Sản xuất thiết bị điện";103.2;110.7;102.6;110.2;107.4;112.1;106.9;109.7
"Sản xuất máy móc, thiết bị chưa được phân vào đâu";..;..;..;..;..;109.7;104.1;112.2
"Sản xuất xe có động cơ, rơ moóc";108.9;113.9;123.1;127.0;117.5;102.8;116.0;107.1
"Sản xuất phương tiện vận tải khác";91.7;98.3;101.2;104.2;107.2;108.9;104.0;94.9
"Sản xuất giường, tủ, bàn, ghế";118.9;96.0;103.5;107.4;111.1;108.7;112.7;111.4
"Công nghiệp chế biến, chế tạo khác";..;..;..;..;..;112.8;111.7;171.4
"Sửa chữa, bảo dưỡng và lắp đặt máy móc, thiết bị";..;..;..;..;..;101.6;106.7;102.6
"Sản xuất và phân phối điện, khí đốt, nước nóng, hơi nước và điều hoà không khí";111.5;108.4;112.5;111.4;111.5;109.6;110.0;108.5
"Cung cấp nước; hoạt động quản lý và xử lý rác thải, nước thải";108.2;109.5;106.3;106.9;108.0;107.1;106.4;106.1
"Khai thác, xử lý và cung cấp nước";108.5;109.5;107.3;106.6;107.9;106.0;107.4;107.3
"Hoạt động thu gom, xử lý và tiêu huỷ rác thải; tái chế phế liệu";107.6;109.5;104.2;107.5;108.2;112.4;103.5;104.9

"* Năm 2012-2016 theo năm gốc 2010; từ năm 2017 theo năm gốc "
"2015."

